,School ID,School Name,School Network,School Year,Time Period,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification
3333,610558,GOODE ACAD HS,Network 10,2014-2015,EOY,68.4,33.1,29.9,0.3
3335,610558,GOODE HS,Network 10,2015-2016,EOY,15.4,22.4,15.0,0.5
3337,610558,GOODE HS,Network 10,2016-2017,EOY,33.8,8.0,10.7,5.4
3339,610558,GOODE HS,Network 10,2017-2018,EOY,30.6,7.5,9.7,10.8
3341,610558,GOODE HS,Network 16,2018-2019,EOY,34.2,5.0,9.3,11.5
3343,610558,GOODE HS,Network 16,2019-2020,EOY,8.4,8.1,6.3,1.3
3345,610558,GOODE HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
3347,610558,GOODE HS,Network 16,2021-2022,EOY,21.8,12.1,4.7,0.1
3382,609769,GRAHAM HS,Network 6,2015-2016,EOY,75.0,3.2,3.2,8.3
3384,609769,GRAHAM HS,Network 6,2016-2017,EOY,71.4,3.4,0.9,28.6
3386,609769,GRAHAM HS,Network 6,2017-2018,EOY,17.6,1.8,0.9,0.0
3388,609769,GRAHAM HS,Network 14,2018-2019,EOY,25.0,0.9,0.9,0.0
3390,609769,GRAHAM HS,Network 14,2019-2020,EOY,25.0,0.7,0.7,75.0
3392,609769,GRAHAM HS,Network 14,2021-2022,EOY,100.0,1.0,0.5,33.3
3394,609769,"GRAHAM,R HS",Network 6,2013-2014,EOY,100.0,0.8,0.8,0.0
3396,609769,"GRAHAM,R HS",Network 6,2014-2015,EOY,12.0,3.9,0.8,4.0
3416,610383,GREATER LAWNDALE HS,Network 7,2013-2014,EOY,106.4,12.5,11.1,1.2
3418,610383,GREATER LAWNDALE HS,Network 7,2014-2015,EOY,91.5,2.3,10.6,5.1
3666,609694,HANCOCK HS,OS4,2013-2014,EOY,35.0,4.9,6.9,0.5
3668,609694,HANCOCK HS,Network 8,2014-2015,EOY,49.3,0.1,9.0,0.7
3670,609694,HANCOCK HS,Network 8,2015-2016,EOY,27.4,0.0,6.5,0.7
3672,609694,HANCOCK HS,Network 8,2016-2017,EOY,27.7,0.0,4.4,0.6
3674,609694,HANCOCK HS,Network 8,2017-2018,EOY,48.4,0.0,4.1,1.1
3676,609694,HANCOCK HS,Network 15,2018-2019,EOY,30.0,0.0,3.0,0.0
3678,609694,HANCOCK HS,Network 15,2019-2020,EOY,11.6,0.0,0.8,5.8
3680,609694,HANCOCK HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
3682,609694,HANCOCK HS,Network 15,2021-2022,EOY,17.7,0.7,0.5,0.0
3702,609710,HARLAN HS,Network 12,2013-2014,EOY,93.2,51.7,27.3,2.4
3704,609710,HARLAN HS,Network 12,2014-2015,EOY,93.0,21.5,12.8,4.7
3706,609710,HARLAN HS,Network 12,2015-2016,EOY,93.5,44.1,31.9,5.4
3708,609710,HARLAN HS,Network 12,2016-2017,EOY,66.9,27.3,21.9,7.0
3710,609710,HARLAN HS,Network 12,2017-2018,EOY,35.8,19.4,29.5,6.4
3712,609710,HARLAN HS,Network 17,2018-2019,EOY,39.9,12.9,17.8,5.0
3714,609710,HARLAN HS,Network 17,2019-2020,EOY,62.0,8.2,6.8,17.4
3716,609710,HARLAN HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
3718,609710,HARLAN HS,Network 17,2021-2022,EOY,64.6,0.3,15.8,5.1
4031,609712,HIRSCH HS,Network 12,2013-2014,EOY,98.7,87.0,76.1,0.9
4033,609712,HIRSCH HS,OS4,2014-2015,EOY,51.9,61.7,40.2,4.0
4035,609712,HIRSCH HS,Network 12,2015-2016,EOY,68.0,49.5,43.5,1.9
4037,609712,HIRSCH HS,Network 12,2016-2017,EOY,43.0,22.3,18.8,5.2
4039,609712,HIRSCH HS,Network 12,2017-2018,EOY,36.0,15.8,27.8,4.5
4041,609712,HIRSCH HS,Network 17,2018-2019,EOY,11.0,22.3,24.3,1.8
4043,609712,HIRSCH HS,Network 17,2019-2020,EOY,22.1,18.4,25.6,5.6
4045,609712,HIRSCH HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
4047,609712,HIRSCH HS,Network 17,2021-2022,EOY,27.5,15.5,21.5,6.7
4167,609741,HUBBARD HS,Network 10,2013-2014,EOY,92.4,39.0,8.7,2.1
4169,609741,HUBBARD HS,Network 10,2014-2015,EOY,72.4,15.5,6.5,2.8
4171,609741,HUBBARD HS,Network 10,2015-2016,EOY,83.7,12.7,5.6,14.8
4173,609741,HUBBARD HS,Network 10,2016-2017,EOY,46.3,3.4,7.0,12.9
4175,609741,HUBBARD HS,Network 10,2017-2018,EOY,79.1,22.7,6.4,7.7
4177,609741,HUBBARD HS,Network 16,2018-2019,EOY,59.9,16.5,3.2,2.9
4179,609741,HUBBARD HS,Network 16,2019-2020,EOY,10.5,0.7,3.8,6.4
4181,609741,HUBBARD HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
4183,609741,HUBBARD HS,Network 16,2021-2022,EOY,13.3,0.0,6.3,0.8
4231,609713,HYDE PARK HS,Network 9,2013-2014,EOY,84.1,62.4,58.5,1.2
4233,609713,HYDE PARK HS,Network 9,2014-2015,EOY,36.9,29.8,9.8,1.5
4235,609713,HYDE PARK HS,Network 9,2015-2016,EOY,96.3,73.4,34.0,0.5
4237,609713,HYDE PARK HS,Network 9,2016-2017,EOY,98.4,51.3,15.0,3.0
4239,609713,HYDE PARK HS,Network 9,2017-2018,EOY,94.9,35.1,8.7,1.4
4241,609713,HYDE PARK HS,Network 17,2018-2019,EOY,73.0,1.1,2.4,18.9
4243,609713,HYDE PARK HS,Network 17,2019-2020,EOY,86.2,1.2,6.8,12.8
4245,609713,HYDE PARK HS,Network 17,2021-2022,EOY,23.2,0.0,2.1,7.2
4247,610384,INFINITY HS,Network 7,2013-2014,EOY,86.5,6.9,2.9,3.8
4249,610384,INFINITY HS,Network 7,2014-2015,EOY,40.0,1.0,1.9,6.7
4251,610384,INFINITY HS,Network 7,2015-2016,EOY,34.6,1.7,0.5,0.0
4253,610384,INFINITY HS,Network 7,2016-2017,EOY,66.7,2.5,0.5,11.1
4255,610384,INFINITY HS,Network 7,2017-2018,EOY,72.2,4.6,1.0,2.8
4257,610384,INFINITY HS,ISP,2018-2019,EOY,82.4,2.7,0.5,5.9
4259,610384,INFINITY HS,ISP,2019-2020,EOY,50.0,0.3,0.3,0.0
4261,610384,INFINITY HS,ISP,2020-2021,EOY,0.0,0.0,0.0,0.0
4263,610384,INFINITY HS,ISP,2021-2022,EOY,46.7,0.0,1.5,20.0
4275,400164,INSTITUTO - LOZANO MASTERY HS,Options,2016-2017,EOY,0.0,0.0,0.0,0.0
4385,609783,JEFFERSON ALT HS,Options,2013-2014,EOY,0.0,0.0,0.0,0.0
4387,609783,JEFFERSON HS,Network 16,2018-2019,EOY,33.3,0.6,0.0,0.0
4389,609783,JEFFERSON HS,Network 16,2021-2022,EOY,0.0,0.0,0.0,16.7
4437,609678,JONES HS,Network 6,2013-2014,EOY,76.9,0.5,1.1,11.5
4439,609678,JONES HS,Network 6,2014-2015,EOY,60.3,2.2,0.6,9.6
4441,609678,JONES HS,ISP,2015-2016,EOY,105.0,2.5,1.1,5.0
4443,609678,JONES HS,ISP,2016-2017,EOY,98.9,3.0,0.9,0.0
4445,609678,JONES HS,ISP,2017-2018,EOY,109.2,4.3,1.7,0.0
4447,609678,JONES HS,ISP,2018-2019,EOY,51.7,2.9,0.7,0.0
4449,609678,JONES HS,ISP,2019-2020,EOY,13.0,1.4,0.6,1.2
4451,609678,JONES HS,ISP,2021-2022,EOY,12.8,0.2,0.2,0.0
4488,609764,JUAREZ HS,OS4,2013-2014,EOY,97.7,0.0,10.4,0.0
4490,609764,JUAREZ HS,OS4,2014-2015,EOY,54.7,0.1,10.3,0.4
4492,609764,JUAREZ HS,ISP,2015-2016,EOY,67.2,2.9,9.3,1.9
4494,609764,JUAREZ HS,ISP,2016-2017,EOY,97.3,3.3,6.7,11.4
4496,609764,JUAREZ HS,ISP,2017-2018,EOY,123.5,5.1,8.2,13.0
4498,609764,JUAREZ HS,ISP,2018-2019,EOY,89.6,5.2,8.2,6.6
4500,609764,JUAREZ HS,Network 15,2019-2020,EOY,55.1,0.0,2.7,8.2
4502,609764,JUAREZ HS,Network 15,2021-2022,EOY,15.0,0.0,1.7,10.1
4504,609762,JULIAN HS,OS4,2013-2014,EOY,96.9,53.1,48.8,8.3
4506,609762,JULIAN HS,Network 10,2014-2015,EOY,69.1,17.3,33.2,9.2
4508,609762,JULIAN HS,Network 13,2015-2016,EOY,88.3,53.4,28.0,6.7
4510,609762,JULIAN HS,Network 13,2016-2017,EOY,95.1,48.4,21.8,10.5
4512,609762,JULIAN HS,Network 13,2017-2018,EOY,104.5,57.7,16.7,8.0
4514,609762,JULIAN HS,Network 16,2018-2019,EOY,91.0,54.8,23.6,2.9
4516,609762,JULIAN HS,Network 16,2019-2020,EOY,71.4,18.4,4.5,4.1
4518,609762,JULIAN HS,Network 16,2021-2022,EOY,90.2,6.9,4.3,0.0
4598,609715,KELLY HS,OS4,2013-2014,EOY,42.8,4.2,6.8,2.4
4600,609715,KELLY HS,OS4,2014-2015,EOY,23.1,2.8,5.0,3.4
4602,609715,KELLY HS,Network 8,2015-2016,EOY,16.7,4.7,2.2,5.0
4604,609715,KELLY HS,Network 8,2016-2017,EOY,23.5,5.3,0.0,0.8
4606,609715,KELLY HS,Network 8,2017-2018,EOY,66.2,6.6,0.1,0.9
4608,609715,KELLY HS,Network 16,2018-2019,EOY,62.1,6.7,1.5,2.0
4610,609715,KELLY HS,Network 16,2019-2020,EOY,32.4,11.2,4.8,0.6
4612,609715,KELLY HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
4614,609715,KELLY HS,Network 16,2021-2022,EOY,39.2,0.8,4.1,1.0
4616,609716,KELVYN PARK HS,OS4,2013-2014,EOY,46.8,17.6,26.2,8.7
4618,609716,KELVYN PARK HS,Network 4,2014-2015,EOY,44.3,0.1,20.9,15.6
4620,609716,KELVYN PARK HS,Network 4,2015-2016,EOY,70.7,25.7,21.5,2.3
4622,609716,KELVYN PARK HS,Network 4,2016-2017,EOY,57.2,0.0,16.9,3.7
4624,609716,KELVYN PARK HS,Network 4,2017-2018,EOY,12.3,0.0,7.4,2.7
4626,609716,KELVYN PARK HS,Network 14,2018-2019,EOY,43.1,20.0,5.7,2.3
4628,609716,KELVYN PARK HS,Network 14,2019-2020,EOY,48.7,8.4,7.7,20.7
4630,609716,KELVYN PARK HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
4632,609716,KELVYN PARK HS,Network 14,2021-2022,EOY,40.9,9.0,5.5,1.5
4634,609718,KENNEDY HS,Network 10,2013-2014,EOY,96.6,0.0,9.1,3.9
4636,609718,KENNEDY HS,Network 10,2014-2015,EOY,95.4,0.0,9.7,5.7
4638,609718,KENNEDY HS,Network 10,2015-2016,EOY,94.0,0.0,10.1,15.2
4640,609718,KENNEDY HS,Network 10,2016-2017,EOY,86.4,5.6,3.4,17.8
4642,609718,KENNEDY HS,Network 10,2017-2018,EOY,74.8,0.4,3.7,52.3
4644,609718,KENNEDY HS,Network 16,2018-2019,EOY,42.4,0.1,1.5,25.8
4646,609718,KENNEDY HS,Network 16,2019-2020,EOY,83.9,0.0,2.9,35.5
4648,609718,KENNEDY HS,Network 16,2021-2022,EOY,95.8,0.1,3.5,5.6
4650,609746,KENWOOD HS,Network 9,2013-2014,EOY,93.8,23.3,19.3,0.1
4652,609746,KENWOOD HS,Network 9,2014-2015,EOY,37.3,27.2,12.5,0.2
4654,609746,KENWOOD HS,Network 9,2015-2016,EOY,52.1,19.6,14.4,0.0
4656,609746,KENWOOD HS,Network 9,2016-2017,EOY,46.2,19.3,9.7,0.1
4658,609746,KENWOOD HS,Network 9,2017-2018,EOY,46.0,14.1,9.6,0.1
4660,609746,KENWOOD HS,Network 17,2018-2019,EOY,71.2,20.1,7.1,0.1
4662,609746,KENWOOD HS,Network 17,2019-2020,EOY,50.5,6.6,4.5,0.7
4664,609746,KENWOOD HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
4666,609746,KENWOOD HS,Network 17,2021-2022,EOY,40.4,5.2,6.4,1.0
4714,609751,KING HS,Network 9,2013-2014,EOY,73.8,2.2,4.7,28.6
4716,609751,KING HS,Network 9,2014-2015,EOY,67.3,4.1,4.1,10.2
4718,609751,KING HS,Network 9,2015-2016,EOY,81.0,7.3,1.5,2.4
4720,609751,KING HS,Network 9,2016-2017,EOY,54.2,3.8,1.1,23.7
4722,609751,KING HS,Network 9,2017-2018,EOY,26.0,2.0,1.7,4.2
4724,609751,KING HS,Network 17,2018-2019,EOY,46.2,0.0,2.4,11.5
4726,609751,KING HS,Network 17,2019-2020,EOY,55.0,0.0,2.3,10.0
4728,609751,KING HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
4730,609751,KING HS,Network 17,2021-2022,EOY,15.9,0.0,1.3,4.8
4787,609719,LAKE VIEW HS,Network 2,2013-2014,EOY,45.1,8.4,9.3,11.2
4789,609719,LAKE VIEW HS,Network 2,2014-2015,EOY,87.7,39.7,13.2,5.7
4791,609719,LAKE VIEW HS,Network 2,2015-2016,EOY,24.4,11.3,22.7,2.3
4793,609719,LAKE VIEW HS,Network 2,2016-2017,EOY,33.2,12.3,4.5,2.5
4795,609719,LAKE VIEW HS,Network 2,2017-2018,EOY,10.2,5.5,8.5,0.3
4797,609719,LAKE VIEW HS,Network 14,2018-2019,EOY,13.8,9.2,10.1,0.2
4799,609719,LAKE VIEW HS,Network 14,2019-2020,EOY,40.4,7.6,4.3,3.1
4801,609719,LAKE VIEW HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
4803,609719,LAKE VIEW HS,Network 14,2021-2022,EOY,18.8,7.3,6.8,0.3
4805,609720,LANE HS,Network 4,2013-2014,EOY,35.4,0.0,1.6,14.2
4807,609720,LANE HS,Network 4,2014-2015,EOY,0.5,0.0,0.0,7.1
4809,609720,LANE TECH HS,Network 4,2015-2016,EOY,29.7,0.0,1.4,25.5
4811,609720,LANE TECH HS,Network 4,2016-2017,EOY,34.2,0.0,1.1,34.9
4813,609720,LANE TECH HS,Network 4,2017-2018,EOY,29.4,0.0,1.3,11.4
4815,609720,LANE TECH HS,Network 14,2018-2019,EOY,5.3,0.0,0.2,0.0
4817,609720,LANE TECH HS,Network 14,2019-2020,EOY,11.9,0.0,0.3,8.3
4819,609720,LANE TECH HS,Network 14,2020-2021,EOY,2.4,0.0,0.0,0.0
4821,609720,LANE TECH HS,Network 14,2021-2022,EOY,12.1,0.0,0.3,9.1
5043,609738,LINCOLN PARK HS,Network 4,2013-2014,EOY,81.1,8.6,4.6,9.3
5045,609738,LINCOLN PARK HS,Network 4,2014-2015,EOY,48.4,0.8,2.8,31.2
5047,609738,LINCOLN PARK HS,ISP,2015-2016,EOY,69.3,0.1,3.9,16.6
5049,609738,LINCOLN PARK HS,ISP,2016-2017,EOY,61.6,2.2,1.5,13.7
5051,609738,LINCOLN PARK HS,ISP,2017-2018,EOY,62.0,1.4,2.8,17.3
5053,609738,LINCOLN PARK HS,ISP,2018-2019,EOY,59.4,0.4,2.1,8.5
5055,609738,LINCOLN PARK HS,Network 14,2019-2020,EOY,23.0,0.1,1.7,7.1
5057,609738,LINCOLN PARK HS,Network 14,2020-2021,EOY,4.3,0.0,0.0,4.3
5059,609738,LINCOLN PARK HS,Network 14,2021-2022,EOY,29.5,0.4,2.0,15.8
5061,610391,LINDBLOM HS,Network 11,2013-2014,EOY,85.1,0.4,3.2,1.5
5063,610391,LINDBLOM HS,Network 11,2014-2015,EOY,59.5,0.3,1.6,2.4
5065,610391,LINDBLOM HS,Network 11,2015-2016,EOY,91.9,0.1,1.8,0.0
5067,610391,LINDBLOM HS,Network 11,2016-2017,EOY,73.2,0.0,2.2,4.9
5069,610391,LINDBLOM HS,Network 11,2017-2018,EOY,78.3,0.1,2.1,2.2
5071,610391,LINDBLOM HS,Network 16,2018-2019,EOY,60.2,1.3,2.7,4.6
5073,610391,LINDBLOM HS,Network 16,2019-2020,EOY,20.0,0.7,0.6,6.3
5075,610391,LINDBLOM HS,ISP,2020-2021,EOY,2.2,0.0,0.1,0.0
5077,610391,LINDBLOM HS,Network 16,2021-2022,EOY,34.8,1.2,2.5,1.9
5079,400137,LITTLE BLACK PEARL ACADEMY HS,Options,2013-2014,EOY,83.3,2.0,17.4,16.7
5081,400137,LITTLE BLACK PEARL HS,Options,2014-2015,EOY,62.9,2.4,8.4,8.6
5083,400137,LITTLE BLACK PEARL HS,Options,2015-2016,EOY,85.7,50.8,40.0,3.6
5085,400137,LITTLE BLACK PEARL HS,Options,2016-2017,EOY,66.7,31.1,22.3,3.9
5087,400137,LITTLE BLACK PEARL HS,Options,2017-2018,EOY,57.7,15.3,15.3,8.5
5089,400137,LITTLE BLACK PEARL HS,Options,2018-2019,EOY,100.0,0.9,6.3,12.5
5091,400137,LITTLE BLACK PEARL HS,Options,2019-2020,EOY,40.0,1.6,3.2,20.0
5092,400137,LITTLE BLACK PEARL HS,Options,2021-2022,EOY,0.0,0.0,0.0,100.0
5295,609722,MANLEY HS,Network 5,2013-2014,EOY,74.8,74.6,78.3,1.7
5297,609722,MANLEY HS,Network 5,2014-2015,EOY,53.4,41.4,46.9,4.3
5299,609722,MANLEY HS,Network 5,2015-2016,EOY,24.3,22.1,44.7,2.8
5301,609722,MANLEY HS,Network 5,2016-2017,EOY,18.7,4.5,49.2,10.2
5303,609722,MANLEY HS,Network 5,2017-2018,EOY,21.2,0.0,31.2,13.8
5305,609722,MANLEY HS,Network 15,2018-2019,EOY,14.7,0.0,34.5,8.3
5307,609722,MANLEY HS,Network 15,2019-2020,EOY,36.3,0.0,44.4,16.7
5309,609722,MANLEY HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
5311,609722,MANLEY HS,Network 15,2021-2022,EOY,42.7,0.0,60.2,9.2
5329,609780,MARINE AMES HS,Service Leadership Academies,2014-2015,EOY,41.1,0.0,6.5,4.3
